time	V(1ni)	V(vout)
6.202252283014314e-004	-1.369552e+000	1.420615e+000
6.320834872300028e-004	-1.475819e+000	1.418928e+000
6.537073711585743e-004	-1.649011e+000	1.415859e+000
6.753312550871458e-004	-1.787336e+000	1.412796e+000
6.969551390157172e-004	-1.890795e+000	1.409741e+000
7.185790229442886e-004	-1.959387e+000	1.406693e+000
7.402029068728601e-004	-1.993112e+000	1.403653e+000
7.618267908014316e-004	-1.991970e+000	1.400620e+000
7.834506747300030e-004	-1.955962e+000	1.397594e+000
7.994942015157173e-004	-1.901516e+000	1.395354e+000
8.155377283014316e-004	-1.830087e+000	1.393117e+000
8.315812550871459e-004	-1.741676e+000	1.390885e+000
8.476247818728602e-004	-1.636281e+000	1.388657e+000
8.636683086585746e-004	-1.513904e+000	1.386432e+000
8.797118354442889e-004	-1.374544e+000	1.384212e+000
8.957553622300031e-004	-1.218200e+000	1.381996e+000
9.055209872300031e-004	-1.117614e+000	1.380648e+000
9.152866122300031e-004	-1.013833e+000	1.379302e+000
9.250522372300031e-004	-9.068580e-001	1.377958e+000
9.348178622300031e-004	-7.966885e-001	1.376615e+000
9.445834872300031e-004	-6.833246e-001	1.375273e+000
9.543491122300031e-004	-5.667664e-001	1.373933e+000
9.641147372300031e-004	-4.470138e-001	1.372595e+000
9.689975497300030e-004	-3.868628e-001	1.371926e+000
9.738803622300030e-004	-3.264904e-001	1.371257e+000
9.787631747300029e-004	-2.658966e-001	1.370589e+000
9.836459872300028e-004	-2.050813e-001	1.369921e+000
9.885287997300029e-004	-1.440446e-001	1.369254e+000
9.934116122300028e-004	-8.278641e-002	1.368587e+000
9.982944247300027e-004	-2.130682e-002	1.367920e+000
1.012942862230002e-003	1.625908e-001	1.365922e+000
1.020615853301431e-003	2.590119e-001	1.364876e+000
1.028288844372859e-003	3.542854e-001	1.363832e+000
1.035961835444288e-003	4.484114e-001	1.362788e+000
1.043634826515716e-003	5.413899e-001	1.361745e+000
1.051307817587145e-003	6.332209e-001	1.360703e+000
1.058980808658573e-003	7.239044e-001	1.359662e+000
1.066653799730001e-003	8.134404e-001	1.358621e+000
1.073629246158573e-003	8.930697e-001	1.357676e+000
1.080604692587144e-003	9.706233e-001	1.356731e+000
1.087580139015715e-003	1.046101e+000	1.355788e+000
1.094555585444287e-003	1.119503e+000	1.354845e+000
1.101531031872858e-003	1.190829e+000	1.353902e+000
1.108506478301429e-003	1.260080e+000	1.352960e+000
1.115481924730000e-003	1.327254e+000	1.352019e+000
1.120364737230000e-003	1.372523e+000	1.351361e+000
1.125247549730000e-003	1.416500e+000	1.350704e+000
1.130130362230000e-003	1.459144e+000	1.350048e+000
1.135013174730000e-003	1.500415e+000	1.349394e+000
1.139895987230000e-003	1.540273e+000	1.348745e+000
1.144778799730000e-003	1.578682e+000	1.348107e+000
1.149661612230000e-003	1.615605e+000	1.347491e+000
1.154544424729999e-003	1.651007e+000	1.346917e+000
1.159427237229999e-003	1.684856e+000	1.346424e+000
1.164310049729999e-003	1.717119e+000	1.346082e+000
1.169192862229999e-003	1.747766e+000	1.345998e+000
1.174075674729999e-003	1.776767e+000	1.346328e+000
1.178958487229999e-003	1.804097e+000	1.347274e+000
1.183841299729999e-003	1.829729e+000	1.349053e+000
1.188724112229999e-003	1.853638e+000	1.351863e+000
1.198489737229999e-003	1.896203e+000	1.361030e+000
1.203372549729998e-003	1.914818e+000	1.367375e+000
1.208255362229998e-003	1.931630e+000	1.374738e+000
1.213138174729998e-003	1.946625e+000	1.382923e+000
1.218020987229998e-003	1.959788e+000	1.391702e+000
1.222903799729998e-003	1.971106e+000	1.400838e+000
1.227786612229998e-003	1.980569e+000	1.410103e+000
1.232669424729998e-003	1.988168e+000	1.419286e+000
1.237552237229998e-003	1.993896e+000	1.428198e+000
1.242435049729998e-003	1.997747e+000	1.436681e+000
1.247317862229997e-003	1.999718e+000	1.444600e+000
1.252200674729997e-003	1.999807e+000	1.451851e+000
1.257083487229997e-003	1.998014e+000	1.458356e+000
1.271731924729997e-003	1.981367e+000	1.473038e+000
1.276614737229997e-003	1.972080e+000	1.476330e+000
1.281497549729997e-003	1.960937e+000	1.478883e+000
1.286380362229997e-003	1.947948e+000	1.480761e+000
1.291263174729997e-003	1.933125e+000	1.482045e+000
1.296145987229996e-003	1.916484e+000	1.482821e+000
1.301028799729996e-003	1.898039e+000	1.483180e+000
1.305911612229996e-003	1.877807e+000	1.483211e+000
1.310794424729996e-003	1.855808e+000	1.482994e+000
1.315677237229996e-003	1.832062e+000	1.482599e+000
1.320560049729996e-003	1.806592e+000	1.482080e+000
1.325442862229996e-003	1.779422e+000	1.481480e+000
1.330325674729996e-003	1.750577e+000	1.480828e+000
1.335208487229996e-003	1.720085e+000	1.480144e+000
1.340091299729995e-003	1.687973e+000	1.479442e+000
1.344974112229995e-003	1.654273e+000	1.478730e+000
1.349856924729995e-003	1.619016e+000	1.478012e+000
1.354739737229995e-003	1.582236e+000	1.477292e+000
1.359622549729995e-003	1.543966e+000	1.476570e+000
1.364505362229995e-003	1.504243e+000	1.475849e+000
1.369388174729995e-003	1.463104e+000	1.475127e+000
