time	V(1ni)	V(vout)
5.247791355983582e-004	-3.109522e-001	1.930908e+000
5.331496713126439e-004	-4.143857e-001	1.929291e+000
5.415202070269297e-004	-5.162569e-001	1.927677e+000
5.498907427412155e-004	-6.165658e-001	1.926063e+000
5.582612784555012e-004	-7.153126e-001	1.924451e+000
5.666318141697869e-004	-8.124970e-001	1.922840e+000
5.750023498840726e-004	-9.081193e-001	1.921231e+000
5.889532427412155e-004	-1.063105e+000	1.918551e+000
6.029041355983583e-004	-1.207401e+000	1.915876e+000
6.168550284555012e-004	-1.341006e+000	1.913204e+000
6.308059213126440e-004	-1.463920e+000	1.910536e+000
6.447568141697870e-004	-1.576144e+000	1.907871e+000
6.587077070269299e-004	-1.677678e+000	1.905210e+000
6.726585998840727e-004	-1.768522e+000	1.902553e+000
6.991652963126441e-004	-1.898397e+000	1.897515e+000
7.256719927412156e-004	-1.974823e+000	1.892490e+000
7.521786891697870e-004	-1.997800e+000	1.887479e+000
7.786853855983585e-004	-1.967329e+000	1.882480e+000
8.051920820269300e-004	-1.883409e+000	1.877495e+000
8.316987784555014e-004	-1.746041e+000	1.872523e+000
8.582054748840728e-004	-1.555224e+000	1.867565e+000
8.700637338126442e-004	-1.455681e+000	1.865350e+000
8.819219927412158e-004	-1.349639e+000	1.863139e+000
8.937802516697872e-004	-1.237097e+000	1.860930e+000
9.056385105983586e-004	-1.118056e+000	1.858724e+000
9.174967695269301e-004	-9.925152e-001	1.856520e+000
9.293550284555015e-004	-8.604748e-001	1.854319e+000
9.412132873840729e-004	-7.219347e-001	1.852121e+000
9.481887338126443e-004	-6.391128e-001	1.850829e+000
9.551641802412157e-004	-5.554697e-001	1.849538e+000
9.621396266697871e-004	-4.710054e-001	1.848247e+000
9.691150730983585e-004	-3.857199e-001	1.846958e+000
9.760905195269299e-004	-2.996132e-001	1.845670e+000
9.830659659555013e-004	-2.126853e-001	1.844382e+000
9.900414123840727e-004	-1.249362e-001	1.843096e+000
9.998070373840725e-004	-2.299176e-003	1.841296e+000
1.004689849884072e-003	5.919513e-002	1.840397e+000
1.009572662384072e-003	1.204901e-001	1.839498e+000
1.014455474884072e-003	1.815856e-001	1.838600e+000
1.019338287384072e-003	2.424818e-001	1.837702e+000
1.024221099884072e-003	3.031786e-001	1.836805e+000
1.029103912384072e-003	3.636760e-001	1.835907e+000
1.033986724884072e-003	4.239740e-001	1.835011e+000
1.044449894526929e-003	5.527573e-001	1.833091e+000
1.054913064169786e-003	6.778486e-001	1.831174e+000
1.065376233812643e-003	7.992477e-001	1.829258e+000
1.075839403455500e-003	9.169547e-001	1.827344e+000
1.086302573098357e-003	1.030970e+000	1.825432e+000
1.096765742741213e-003	1.141292e+000	1.823523e+000
1.107228912384070e-003	1.247923e+000	1.821615e+000
1.114204358812641e-003	1.315493e+000	1.820344e+000
1.121179805241213e-003	1.380241e+000	1.819074e+000
1.128155251669784e-003	1.442167e+000	1.817805e+000
1.135130698098355e-003	1.501273e+000	1.816537e+000
1.142106144526927e-003	1.557557e+000	1.815270e+000
1.149081590955498e-003	1.611020e+000	1.814004e+000
1.156057037384069e-003	1.661661e+000	1.812739e+000
1.160939849884069e-003	1.695022e+000	1.811853e+000
1.165822662384069e-003	1.726787e+000	1.810969e+000
1.170705474884069e-003	1.756927e+000	1.810085e+000
1.175588287384069e-003	1.785414e+000	1.809203e+000
1.178822920693409e-003	1.803361e+000	1.808619e+000
1.181995151152966e-003	1.820239e+000	1.808048e+000
1.185158115268693e-003	1.836347e+000	1.807482e+000
1.189427794269570e-003	1.856941e+000	1.806727e+000
1.194310606769570e-003	1.878852e+000	1.805872e+000
1.199193419269570e-003	1.898996e+000	1.805024e+000
1.204076231769570e-003	1.917352e+000	1.804185e+000
1.208959044269570e-003	1.933904e+000	1.803354e+000
1.212679151987680e-003	1.945293e+000	1.802730e+000
1.214298050619696e-003	1.949918e+000	1.802535e+000
1.215108795517381e-003	1.952159e+000	1.802745e+000
1.215461987609005e-003	1.953119e+000	1.803303e+000
1.215663254022564e-003	1.953662e+000	1.804030e+000
1.215813327266729e-003	1.954064e+000	1.804806e+000
1.215880406748248e-003	1.954244e+000	1.805209e+000
1.215979806665949e-003	1.954509e+000	1.805849e+000
1.216069552833194e-003	1.954748e+000	1.806448e+000
1.216165131345216e-003	1.955002e+000	1.807101e+000
1.216348677924179e-003	1.955487e+000	1.808378e+000
1.216654886322834e-003	1.956291e+000	1.810532e+000
1.222167139041651e-003	1.969517e+000	1.845799e+000
1.226745144773334e-003	1.978707e+000	1.870681e+000
1.231627957273334e-003	1.986704e+000	1.893920e+000
1.236510769773334e-003	1.992831e+000	1.913693e+000
1.241393582273334e-003	1.997083e+000	1.930299e+000
1.246276394773334e-003	1.999456e+000	1.944023e+000
1.251159207273333e-003	1.999946e+000	1.955088e+000
1.256042019773333e-003	1.998554e+000	1.963670e+000
1.260924832273333e-003	1.995281e+000	1.969911e+000
1.265807644773333e-003	1.990131e+000	1.973943e+000
1.270690457273333e-003	1.983107e+000	1.976130e+000
1.273235744886808e-003	1.978705e+000	1.976540e+000
1.275146095528638e-003	1.975069e+000	1.976479e+000
1.277095634701909e-003	1.971065e+000	1.976227e+000
1.279085242182441e-003	1.966673e+000	1.975873e+000
1.281488502243188e-003	1.960959e+000	1.975401e+000
1.284098109648534e-003	1.954248e+000	1.974876e+000
1.288080632936989e-003	1.942994e+000	1.974071e+000
1.292963445436989e-003	1.927536e+000	1.973079e+000
1.297846257936989e-003	1.910265e+000	1.972085e+000
1.302729070436989e-003	1.891195e+000	1.971089e+000
1.307611882936989e-003	1.870346e+000	1.970093e+000
1.312494695436988e-003	1.847736e+000	1.969097e+000
1.317377507936988e-003	1.823388e+000	1.968110e+000
1.321126930474321e-003	1.803525e+000	1.967365e+000
1.324983869308553e-003	1.782048e+000	1.966606e+000
1.342882686257175e-003	1.668900e+000	1.963087e+000
1.356136034471461e-003	1.569309e+000	1.960487e+000
1.369389382685746e-003	1.460901e+000	1.957889e+000
1.382642730900031e-003	1.343676e+000	1.955295e+000
1.395896079114317e-003	1.217634e+000	1.952704e+000
1.409149427328602e-003	1.082775e+000	1.950117e+000
1.422402775542888e-003	9.390994e-001	1.947533e+000
1.435656123757173e-003	7.866066e-001	1.944953e+000
1.443329114828602e-003	6.965352e-001	1.943461e+000
1.451002105900030e-003	6.053822e-001	1.941970e+000
1.458675096971458e-003	5.131476e-001	1.940480e+000
1.466348088042887e-003	4.198313e-001	1.938991e+000
1.474021079114315e-003	3.254334e-001	1.937503e+000
1.481694070185744e-003	2.299539e-001	1.936016e+000
1.489367061257172e-003	1.333927e-001	1.934531e+000
1.513781123757172e-003	-1.730876e-001	1.929812e+000
1.522151659471457e-003	-2.782963e-001	1.928197e+000
1.530522195185742e-003	-3.820302e-001	1.926583e+000
1.538892730900028e-003	-4.842894e-001	1.924970e+000
1.547263266614314e-003	-5.850739e-001	1.923359e+000
1.555633802328599e-003	-6.843836e-001	1.921749e+000
1.564004338042885e-003	-7.822186e-001	1.920140e+000
1.572374873757170e-003	-8.785789e-001	1.918533e+000
1.586325766614313e-003	-1.035006e+000	1.915858e+000
1.600276659471455e-003	-1.180924e+000	1.913186e+000
1.614227552328598e-003	-1.316331e+000	1.910518e+000
1.628178445185740e-003	-1.441229e+000	1.907853e+000
1.642129338042883e-003	-1.555616e+000	1.905192e+000
1.656080230900026e-003	-1.659494e+000	1.902535e+000
1.670031123757168e-003	-1.752862e+000	1.899882e+000
